01/02/2018;0;6;399;4
01/02/2018;1;3;203;4
01/02/2018;2;2;157;4
01/02/2018;3;2;138;4
01/02/2018;4;4;252;4
01/02/2018;5;9;592;4
01/02/2018;6;21;1274;4
01/02/2018;7;36;2170;4
01/02/2018;8;42;2572;4
01/02/2018;9;47;2822;4
01/02/2018;10;48;2903;4
01/02/2018;11;50;3020;4
01/02/2018;12;46;2766;4
01/02/2018;13;49;2943;4
01/02/2018;14;65;3937;4
01/02/2018;15;71;4275;4
01/02/2018;16;80;4815;4
01/02/2018;17;86;5180;4
01/02/2018;18;86;5216;4
01/02/2018;19;77;4637;4
01/02/2018;20;63;3819;4
01/02/2018;21;53;3217;4
01/02/2018;22;45;2736;4
01/02/2018;23;35;2149;4
02/02/2018;0;21;1276;5
02/02/2018;1;11;666;5
02/02/2018;2;6;373;5
02/02/2018;3;5;320;5
02/02/2018;4;11;696;5
02/02/2018;5;27;1620;5
02/02/2018;6;47;2858;5
02/02/2018;7;60;3639;5
02/02/2018;8;62;3753;5
02/02/2018;9;61;3717;5
02/02/2018;10;65;3930;5
02/02/2018;11;64;3886;5
02/02/2018;12;48;2939;5
02/02/2018;13;43;2585;5
02/02/2018;14;48;2890;5
02/02/2018;15;46;2819;5
02/02/2018;16;43;2595;5
02/02/2018;17;42;2563;5
02/02/2018;18;40;2410;5
02/02/2018;19;38;2286;5
02/02/2018;20;33;2037;5
02/02/2018;21;24;1494;5
02/02/2018;22;18;1097;5
02/02/2018;23;13;817;5
03/02/2018;0;8;502;6
03/02/2018;1;5;323;6
03/02/2018;2;3;188;6
03/02/2018;3;3;198;6
03/02/2018;4;4;272;6
03/02/2018;5;10;631;6
03/02/2018;6;20;1205;6
03/02/2018;7;30;1826;6
03/02/2018;8;36;2195;6
03/02/2018;9;41;2503;6
03/02/2018;10;39;2387;6
03/02/2018;11;34;2087;6
03/02/2018;12;27;1652;6
03/02/2018;13;26;1581;6
03/02/2018;14;29;1756;6
03/02/2018;15;26;1595;6
03/02/2018;16;22;1367;6
03/02/2018;17;21;1298;6
03/02/2018;18;19;1152;6
03/02/2018;19;18;1115;6
03/02/2018;20;15;923;6
03/02/2018;21;12;744;6
03/02/2018;22;9;553;6
03/02/2018;23;8;533;6
04/02/2018;0;7;421;7
04/02/2018;1;3;221;7
04/02/2018;2;2;166;7
04/02/2018;3;2;149;7
04/02/2018;4;3;194;7
04/02/2018;5;4;282;7
04/02/2018;6;9;560;7
04/02/2018;7;16;975;7
04/02/2018;8;21;1262;7
04/02/2018;9;22;1379;7
04/02/2018;10;21;1311;7
04/02/2018;11;21;1294;7
04/02/2018;12;19;1167;7
04/02/2018;13;16;973;7
04/02/2018;14;15;918;7
04/02/2018;15;15;907;7
04/02/2018;16;15;954;7
04/02/2018;17;14;896;7
04/02/2018;18;15;957;7
04/02/2018;19;15;906;7
04/02/2018;20;12;776;7
04/02/2018;21;9;597;7
04/02/2018;22;7;432;7
04/02/2018;23;6;360;7
05/02/2018;0;3;225;1
05/02/2018;1;2;140;1
05/02/2018;2;1;110;1
05/02/2018;3;1;114;1
05/02/2018;4;2;169;1
05/02/2018;5;7;429;1
05/02/2018;6;14;871;1
05/02/2018;7;27;1630;1
05/02/2018;8;28;1715;1
05/02/2018;9;28;1710;1
05/02/2018;10;27;1633;1
05/02/2018;11;27;1651;1
05/02/2018;12;23;1398;1
05/02/2018;13;22;1378;1
05/02/2018;14;25;1536;1
05/02/2018;15;27;1677;1
05/02/2018;16;27;1661;1
05/02/2018;17;33;2009;1
05/02/2018;18;40;2401;1
05/02/2018;19;27;1666;1
05/02/2018;20;15;935;1
05/02/2018;21;11;703;1
05/02/2018;22;8;535;1
05/02/2018;23;6;398;1
